Noun,Count
키키,10517
응,2048
뭐,1613
그거,1154
이번,757
애,688
진짜,592
거기,570
오늘,532
거지,392
여,386
대박,342
너희,341
누나,293
이제,269
알바,267
학원,247
요새,238
다행,231
제주,231
만원,222
제주도,193
얘기,188
연애,187
이래,181
지하철,179
내일,176
겠다,171
자격증,166
난리,163
저번,161
이랑,160
영어,159
가자,158
낚시,156
옛날,147
우리집,145
어,142
사랑,142
겠어,132
하자,127
만화,125
이거,125
장난,125
인기,125
영화관,121
주식,121
군인,120
기차,118
머,116
가면,115
월급,112
보드,112
은근,112
전화,111
오랜만,110
휴,106
출근,105
애기,104
휴가,104
할로윈,103
패딩,103
해야,103
취업,99
잼,98
엉,98
내년,96
결혼식,96
가보,94
아하,93
부산,92
마자,89
퇴근,89
딩,89
전세,87
봐야,87
신기,86
추억,86
겠네,85
전기차,84
걸,83
이젠,83
구경,82
햄스터,82
거래,82
벅수,81
짱,79
웹툰,78
카드,77
팀,77
생일,76
택시,75
걔,75
시골,74
할인,74
월세,72
마리,70
나름,70
큰일,70
안해,69
파마,69
인생,69
한데,69
오징어게임,68
남친,68
라니,68
빵,67
본인,66
화장,66
여친,65
사기,65
왕,65
얘,65
먹,65
마트,64
분위기,64
진주,64
주고,64
형님,63
결국,63
형부,63
님,63
핫,62
얌,62
포기,62
아저씨,61
절대,61
상상,61
맛집,60
데이트,59
올림픽,58
배우,58
대출,58
고등,58
문신,58
겁,57
억,57
인테리어,57
물고기,57
공군,57
할거,56
직원,55
거구,55
오토바이,54
제사,54
본적,54
축하,53
극장,53
당장,53
소름,52
식당,52
택배,52
허,52
면허,52
출퇴근,52
기회,51
실력,51
엘,51
총,51
자취,51
양상추,50
고등학교,50
마블,50
시급,50
촌,50
워,50
앵무새,49
결제,49
마당,49
넷,49
만족,49
좀,48
이번주,48
미안,47
단풍,47
떄,47
하와이,47
자식,47
대학교,47
후회,47
싸움,47
갈래,47
오락실,47
배구,47
파티,47
문화,46
도전,46
툰,46
라도,46
잖,45
시장,45
취직,44
방송,44
용돈,44
똥,44
커플,43
강원,43
부자,43
보상,43
시즌,43
예능,43
거잖,43
수학,42
현금,42
승,42
장르,42
물가,42
편의점,42
넷플릭스,42
중고차,42
졸업,42
응원,42
컴,42
카카오,41
킥,41
팬,41
초딩,41
캐릭터,41
경찰,40
태풍,40
다음주,40
최,40
닌텐도,40
안가,40
와우,40
플스,40
유기,40
아무,40
지네,40
감독,40
타고,40
크리스마스,40
전역,40
이슈,39
피자,39
집값,39
셋,39
진심,39
햄버거,39
애니메이션,39
오케이,39
뻔,39
냥,39
사장님,39
짱구,39
입양,38
기념일,38
호텔,38
어이,38
주문,38
쿠팡,38
전쟁,38
단독,38
허르,38
에이,38
영국,38
플레이,38
강원도,38
애견,37
카트,37
메이플,37
줌,37
신혼,37
언,37
부동산,37
같어,37
시댁,36
체험,36
스토리,36
쵸,36
사서,36
지구,36
계약,36
말야,36
데이,36
특전사,36
중고,36
복지,36
맨,36
도서관,35
흠,35
신혼여행,35
외국어,35
극,35
대표,35
만화책,35
비트,35
빌라,35
힐링,35
하대,35
아이유,35
대리,35
입장,35
소개팅,34
테슬라,34
육군,34
대기업,34
팅,34
쟤,34
아이템,34
직구,34
유럽,34
수상,34
필,34
이벤트,34
공익,34
불법,34
규제,33
인스타,33
모바일,33
코인,33
외제,33
해병대,33
롯데,33
삼성,32
급여,32
과학,32
위드,32
사천,32
정촌,32
편지,32
쇼핑몰,32
뷰,32
갈게,32
금액,31
출신,31
한강,31
상사,31
보신,31
쯤,31
단독주택,31
배송,31
지옥,31
기름값,31
경차,31
웃기,31
차량,30
천원,30
일교차,30
태국,30
수달,30
요금,30
눈치,30
공짜,30
경제,30
공무원,30
환승,30
대전,30
일본어,30
무한,30
로망,30
숲,30
스펙,29
국,29
이상형,29
업,29
상어,29
국밥,29
펌,29
고슴도치,29
거미,29
감성,29
코트,29
랭,29
존맛,29
나한,28
아무것,28
피시,28
시리즈,28
개봉,28
디즈니,28
효도,28
청약,28
분양,28
캐스,28
들,28
지원금,28
박스,28
남동생,28
마동석,28
출발,28
동석,28
남자애,28
공주,28
예비군,27
뱀,27
사야,27
평일,27
왜케,27
취향,27
엠,27
자랑,27
팝콘,27
네이버,27
넷플,27
피아노,27
원피스,27
편리,27
파이,27
북한,27
영애,27
대형견,27
킥보드,27
한국어,27
제목,27
이구아나,27
코딩,27
카레,27
다음달,27
면회,27
머릿결,26
구름,26
고양,26
원룸,26
할려,26
패,26
선배,26
앜,26
이태원,26
년도,26
듄,26
세금,26
선임,26
왁싱,26
메이,25
